stock,model,horizon,threshold,n_samples,target_rate,accuracy,balanced_accuracy,note
AAPL,logreg,60,0.07,1230,0.36910569105691055,0.6463414634146342,0.6532194969881638,
AAPL,logreg,20,0.1,1270,0.1078740157480315,0.8464566929133859,0.593662182361734,
AAPL,logreg,60,0.05,1230,0.359349593495935,0.6016260162601627,0.5773299108895782,
AAPL,logreg,45,0.1,1245,0.3100401606425703,0.5060240963855421,0.560884664010114,
NVDA,xgb,90,0.07,1200,0.4791666666666667,0.7083333333333334,0.5601851851851852,
NVDA,rf,90,0.07,1200,0.4791666666666667,0.7041666666666667,0.558641975308642,
NVDA,xgb,60,0.07,1230,0.4138211382113821,0.8617886178861789,0.5439572192513369,
AAPL,logreg,60,0.1,1230,0.34308943089430893,0.5609756097560976,0.5424490970573422,
NVDA,xgb,60,0.1,1230,0.4121951219512195,0.8821138211382114,0.540983606557377,
AAPL,logreg,20,0.07,1270,0.17086614173228346,0.6496062992125984,0.5322172533730841,
NVDA,logreg,60,0.07,1230,0.4138211382113821,0.7276422764227642,0.5242067736185384,
NVDA,logreg,20,0.1,1270,0.21338582677165355,0.5866141732283464,0.5213344912433059,
NVDA,logreg,90,0.07,1200,0.4791666666666667,0.625,0.5163714439076758,
MSFT,logreg,60,0.07,1230,0.38943089430894307,0.8008130081300813,0.5144738746562455,
NVDA,logreg,90,0.05,1200,0.49833333333333335,0.6208333333333333,0.5143288084464555,
AAPL,logreg,60,0.03,1230,0.36829268292682926,0.5813008130081301,0.50800605863897,
AAPL,logreg,90,0.05,1200,0.5183333333333333,0.7625,0.5025096525096525,
AAPL,logreg,45,0.03,1245,0.3397590361445783,0.5220883534136547,0.5002110222520811,
NVDA,xgb,90,0.05,1200,0.49833333333333335,0.8291666666666667,0.49924585218702866,
NVDA,rf,60,0.1,1230,0.4121951219512195,0.7357723577235772,0.49362477231329693,
AMZN,logreg,60,0.03,1230,0.26097560975609757,0.6951219512195121,0.48954644156956295,
NVDA,rf,60,0.07,1230,0.4138211382113821,0.7804878048780488,0.48877005347593583,
AAPL,rf,20,0.07,1270,0.17086614173228346,0.5708661417322834,0.48534189504261743,
MSFT,logreg,60,0.05,1230,0.432520325203252,0.7723577235772358,0.48273401826484014,
AAPL,knn,20,0.05,1270,0.2251968503937008,0.47244094488188976,0.47101894521249354,
MSFT,logreg,60,0.03,1230,0.44471544715447153,0.7601626016260162,0.4654901960784314,
AAPL,logreg,90,0.1,1200,0.4625,0.6583333333333333,0.4630807788702526,
AMZN,logreg,20,0.07,1270,0.08346456692913386,0.4448818897637795,0.4612217492652275,
NVDA,logreg,90,0.03,1200,0.5108333333333334,0.5541666666666667,0.4608134920634921,
AAPL,xgb,20,0.07,1270,0.17086614173228346,0.5669291338582677,0.4509498146237052,
AAPL,logreg,90,0.03,1200,0.5358333333333334,0.725,0.4502719502719503,
AAPL,xgb,20,0.05,1270,0.2251968503937008,0.48031496062992124,0.4369175627240143,
NVDA,xgb,20,0.07,1270,0.24566929133858267,0.5236220472440944,0.4366038959534895,
AAPL,rf,20,0.05,1270,0.2251968503937008,0.41732283464566927,0.43553507424475163,
NVDA,logreg,60,0.05,1230,0.4276422764227642,0.6585365853658537,0.4338884338884339,
MSFT,logreg,45,0.03,1245,0.41606425702811245,0.6746987951807228,0.43097007589162833,
AAPL,logreg,20,0.05,1270,0.2251968503937008,0.5393700787401575,0.4284519542584058,
NVDA,rf,20,0.07,1270,0.24566929133858267,0.5039370078740157,0.423815231742061,
AAPL,logreg,45,0.07,1245,0.3469879518072289,0.5502008032128514,0.4211775878442545,
MSFT,xgb,20,0.1,1270,0.07559055118110236,0.8070866141732284,0.4192055969307154,
NVDA,xgb,60,0.05,1230,0.4276422764227642,0.8170731707317073,0.418964418964419,
AAPL,logreg,90,0.07,1200,0.51,0.65,0.41762990732062893,
NVDA,xgb,20,0.05,1270,0.27874015748031494,0.42913385826771655,0.4169863013698631,
AAPL,knn,20,0.07,1270,0.17086614173228346,0.5708661417322834,0.41398157703627264,
AAPL,logreg,45,0.05,1245,0.3582329317269076,0.5140562248995983,0.4137239510326138,
AMZN,logreg,45,0.05,1245,0.18795180722891566,0.5742971887550201,0.4115296803652968,
NVDA,xgb,45,0.1,1245,0.3887550200803213,0.7349397590361446,0.4087036083948075,
AMZN,logreg,60,0.07,1230,0.18943089430894308,0.6382113821138211,0.40556821455697856,
MSFT,logreg,20,0.1,1270,0.07559055118110236,0.6929133858267716,0.40517565636049047,
NVDA,xgb,20,0.1,1270,0.21338582677165355,0.6338582677165354,0.4034351329184156,
AAPL,xgb,20,0.03,1270,0.284251968503937,0.4921259842519685,0.4019096845183802,
AAPL,rf,20,0.03,1270,0.284251968503937,0.4645669291338583,0.4011326837413794,
MSFT,logreg,45,0.05,1245,0.37670682730923694,0.6104417670682731,0.39976198204046304,
AMZN,xgb,20,0.1,1270,0.05196850393700787,0.6732283464566929,0.3976836427098207,
MSFT,rf,20,0.07,1270,0.14251968503937007,0.5826771653543307,0.3938905930470347,
NVDA,rf,90,0.05,1200,0.49833333333333335,0.7333333333333333,0.392156862745098,
MSFT,xgb,20,0.07,1270,0.14251968503937007,0.5826771653543307,0.39176891615541926,
NVDA,xgb,45,0.05,1245,0.44497991967871486,0.8112449799196787,0.3901477832512315,
NVDA,rf,20,0.05,1270,0.27874015748031494,0.35039370078740156,0.38994880309948804,
MSFT,xgb,45,0.1,1245,0.26907630522088355,0.5742971887550201,0.38989065584314764,
AAPL,rf,45,0.03,1245,0.3397590361445783,0.5180722891566265,0.38909704008992135,
MSFT,xgb,45,0.03,1245,0.41606425702811245,0.6666666666666666,0.3881090008257638,
NVDA,logreg,60,0.1,1230,0.4121951219512195,0.6056910569105691,0.3879781420765028,
AAPL,knn,20,0.03,1270,0.284251968503937,0.4251968503937008,0.3876775398514529,
NVDA,logreg,20,0.07,1270,0.24566929133858267,0.36220472440944884,0.38650603386375737,
AMZN,logreg,45,0.03,1245,0.23293172690763053,0.6265060240963856,0.3849655323339534,
MSFT,logreg,45,0.1,1245,0.26907630522088355,0.5742971887550201,0.38412402688136266,
