stock,model,horizon,threshold,n_samples,target_rate,accuracy,balanced_accuracy,note
AAPL,logreg,60,0.07,1230,0.36910569105691055,0.6463414634146342,0.6532194969881638,
AAPL,logreg,20,0.1,1270,0.1078740157480315,0.8464566929133859,0.593662182361734,
AAPL,logreg,60,0.05,1230,0.359349593495935,0.6016260162601627,0.5773299108895782,
AAPL,logreg,45,0.1,1245,0.3100401606425703,0.5060240963855421,0.560884664010114,
AAPL,logreg,60,0.1,1230,0.34308943089430893,0.5609756097560976,0.5424490970573422,
AAPL,logreg,20,0.07,1270,0.17086614173228346,0.6496062992125984,0.5322172533730841,
MSFT,logreg,60,0.07,1230,0.38943089430894307,0.8008130081300813,0.5144738746562455,
AAPL,logreg,60,0.03,1230,0.36829268292682926,0.5813008130081301,0.50800605863897,
AAPL,logreg,90,0.05,1200,0.5183333333333333,0.7625,0.5025096525096525,
AAPL,logreg,45,0.03,1245,0.3397590361445783,0.5220883534136547,0.5002110222520811,
AAPL,rf,20,0.07,1270,0.17086614173228346,0.5708661417322834,0.48534189504261743,
MSFT,logreg,60,0.05,1230,0.432520325203252,0.7723577235772358,0.48273401826484014,
AAPL,knn,20,0.05,1270,0.2251968503937008,0.47244094488188976,0.47101894521249354,
MSFT,logreg,60,0.03,1230,0.44471544715447153,0.7601626016260162,0.4654901960784314,
AAPL,logreg,90,0.1,1200,0.4625,0.6583333333333333,0.4630807788702526,
AAPL,xgb,20,0.07,1270,0.17086614173228346,0.5669291338582677,0.4509498146237052,
AAPL,logreg,90,0.03,1200,0.5358333333333334,0.725,0.4502719502719503,
AAPL,xgb,20,0.05,1270,0.2251968503937008,0.48031496062992124,0.4369175627240143,
AAPL,rf,20,0.05,1270,0.2251968503937008,0.41732283464566927,0.43553507424475163,
MSFT,logreg,45,0.03,1245,0.41606425702811245,0.6746987951807228,0.43097007589162833,
AAPL,logreg,20,0.05,1270,0.2251968503937008,0.5393700787401575,0.4284519542584058,
AAPL,logreg,45,0.07,1245,0.3469879518072289,0.5502008032128514,0.4211775878442545,
MSFT,xgb,20,0.1,1270,0.07559055118110236,0.8070866141732284,0.4192055969307154,
AAPL,logreg,90,0.07,1200,0.51,0.65,0.41762990732062893,
AAPL,knn,20,0.07,1270,0.17086614173228346,0.5708661417322834,0.41398157703627264,
AAPL,logreg,45,0.05,1245,0.3582329317269076,0.5140562248995983,0.4137239510326138,
MSFT,logreg,20,0.1,1270,0.07559055118110236,0.6929133858267716,0.40517565636049047,
AAPL,xgb,20,0.03,1270,0.284251968503937,0.4921259842519685,0.4019096845183802,
AAPL,rf,20,0.03,1270,0.284251968503937,0.4645669291338583,0.4011326837413794,
MSFT,logreg,45,0.05,1245,0.37670682730923694,0.6104417670682731,0.39976198204046304,
MSFT,rf,20,0.07,1270,0.14251968503937007,0.5826771653543307,0.3938905930470347,
MSFT,xgb,20,0.07,1270,0.14251968503937007,0.5826771653543307,0.39176891615541926,
MSFT,xgb,45,0.1,1245,0.26907630522088355,0.5742971887550201,0.38989065584314764,
AAPL,rf,45,0.03,1245,0.3397590361445783,0.5180722891566265,0.38909704008992135,
MSFT,xgb,45,0.03,1245,0.41606425702811245,0.6666666666666666,0.3881090008257638,
AAPL,knn,20,0.03,1270,0.284251968503937,0.4251968503937008,0.3876775398514529,
MSFT,logreg,45,0.1,1245,0.26907630522088355,0.5742971887550201,0.38412402688136266,
AAPL,rf,20,0.1,1270,0.1078740157480315,0.8740157480314961,0.37919282511210767,
MSFT,rf,20,0.03,1270,0.2700787401574803,0.46062992125984253,0.37610960194939524,
MSFT,xgb,45,0.05,1245,0.37670682730923694,0.606425702811245,0.3747160012982798,
AAPL,knn,45,0.03,1245,0.3397590361445783,0.46987951807228917,0.37405847469670933,
AAPL,xgb,60,0.03,1230,0.36829268292682926,0.6138211382113821,0.3729128349381514,
AAPL,xgb,20,0.1,1270,0.1078740157480315,0.8543307086614174,0.37171898355754857,
AAPL,knn,20,0.1,1270,0.1078740157480315,0.8503937007874016,0.3702242152466368,
AAPL,rf,60,0.05,1230,0.359349593495935,0.5040650406504065,0.3697559536975595,
MSFT,logreg,20,0.07,1270,0.14251968503937007,0.5433070866141733,0.36919734151329237,
AAPL,xgb,90,0.1,1200,0.4625,0.5,0.36784268363215733,
MSFT,knn,90,0.07,1200,0.49833333333333335,0.7291666666666666,0.36750197316495664,
AAPL,rf,60,0.03,1230,0.36829268292682926,0.540650406504065,0.3663853727144866,
MSFT,rf,20,0.05,1270,0.1984251968503937,0.49606299212598426,0.36518563603164944,
MSFT,logreg,90,0.07,1200,0.49833333333333335,0.7083333333333334,0.3624046303604314,
MSFT,logreg,45,0.07,1245,0.334136546184739,0.5341365461847389,0.35987741631305986,
MSFT,xgb,20,0.05,1270,0.1984251968503937,0.484251968503937,0.35620815581253806,
AAPL,rf,45,0.1,1245,0.3100401606425703,0.5060240963855421,0.35421767727687364,
MSFT,knn,20,0.03,1270,0.2700787401574803,0.4448818897637795,0.3539263970788518,
AAPL,logreg,20,0.03,1270,0.284251968503937,0.4409448818897638,0.35090030742204653,
MSFT,rf,45,0.1,1245,0.26907630522088355,0.5100401606425703,0.3506775789030097,
AAPL,xgb,60,0.05,1230,0.359349593495935,0.4796747967479675,0.3500066014070427,
MSFT,rf,20,0.1,1270,0.07559055118110236,0.8070866141732284,0.3492815767697284,
MSFT,knn,20,0.05,1270,0.1984251968503937,0.4763779527559055,0.34717995536620005,
AAPL,rf,60,0.07,1230,0.36910569105691055,0.47560975609756095,0.34701079031787696,
MSFT,xgb,60,0.03,1230,0.44471544715447153,0.6951219512195121,0.3461538461538462,
AAPL,knn,60,0.07,1230,0.36910569105691055,0.46747967479674796,0.3449985418489356,
AAPL,knn,90,0.03,1200,0.5358333333333334,0.6541666666666667,0.3448275862068966,
AAPL,knn,45,0.1,1245,0.3100401606425703,0.4899598393574297,0.3422391857506361,
MSFT,knn,90,0.05,1200,0.5208333333333334,0.75,0.34036982490590734,
MSFT,xgb,45,0.07,1245,0.334136546184739,0.5180722891566265,0.3402404526166902,
